,genes,pagerank
206,Mrpl44,-6.57E-06
207,Serpine2,-7.88E-05
208,Cul3,-3.01E-05
209,Dock10,-5.92E-05
210,Rhbdd1,1.63E-05
211,Col4a4,1.07E-05
212,Col4a3,-6.22E-05
213,Mff,-5.27E-05
214,Agfg1,1.27E-07
215,Pid1,-1.24E-05
216,Trip12,0.000106949
217,Fbxo36,-5.41E-07
218,A530032D15Rik,-2.69E-06
219,Sp110,3.75E-06
220,Sp140,3.54E-05
221,Sp100,5.02E-05
222,A630001G21Rik,-2.29E-05
223,Cab39,3.94E-05
224,Itm2c,2.81E-05
225,Psmd1,6.45E-05
226,Ncl,7.44E-05
227,Ptma,4.44E-06
228,Pde6d,5.18E-05
229,Cops7b,-2.66E-05
230,Dis3l2,1.74E-06
231,Eif4e2,-4.12E-05
232,Gigyf2,2.47E-05
233,Inpp5d,1.04E-05
234,Atg16l1,6.72E-06
235,Sag,-7.20E-05
236,Dgkd,-3.41E-05
237,Usp40,-2.36E-05
238,Hjurp,7.75E-06
239,Arl4c,-1.49E-05
240,Sh3bp4,3.30E-05
241,Agap1,7.51E-06
242,Ackr3,-7.09E-05
243,Cops8,3.71E-05
244,Col6a3,-2.69E-06
245,Lrrfip1,-7.22E-05
246,Ramp1,5.69E-05
247,Ube2f,8.48E-06
248,Scly,4.90E-06
249,Ilkap,-1.43E-05
250,Hes6,-5.21E-05
251,Per2,1.93E-05
252,Traf3ip1,1.39E-05
253,Asb1,1.46E-05
254,Hdac4,3.06E-05
255,Ndufa10,-9.58E-05
256,Gpc1,-7.32E-05
257,Dusp28,2.24E-05
258,Rnpepl1,-0.000117676
259,9430060I03Rik,-0.000108734
260,Gpr35,-0.000172268
261,Sned1,6.32E-05
262,Mterf4,-0.000108734
263,Ppp1r7,-1.19E-05
264,Hdlbp,2.78E-05
265,Stk25,3.04E-05
266,Bok,-1.57E-05
267,Thap4,8.95E-06
268,Atg4b,-1.09E-05
269,Dtymk,9.50E-06
270,Ing5,2.26E-05
271,Fam174a,-4.58E-05
272,St8sia4,-3.28E-05
273,D1Ertd622e,1.97E-06
274,Ppip5k2,3.68E-05
275,Gin1,1.15E-05
276,Pam,-3.03E-05
277,Zcchc2,2.85E-05
278,Phlpp1,1.25E-05
279,Bcl2,2.26E-05
280,Kdsr,-3.22E-05
281,Vps4b,-0.000114395
282,Serpinb8,1.35E-05
283,Dsel,-3.05E-06
284,Tsn,-1.59E-05
285,Nifk,-0.000108734
286,Clasp1,4.90E-05
287,2900060B14Rik,-8.13E-05
288,Inhbb,9.02E-06
289,Ralb,-4.48E-05
290,Tmem185b,1.42E-05
291,Epb41l5,-0.000108734
292,Ptpn4,-8.87E-05
293,Tmem37,-4.82E-06
294,Dbi,2.05E-05
295,3110009E18Rik,-6.32E-07
296,Steap3,-1.19E-05
297,Insig2,-6.37E-05
298,Ccdc93,-3.41E-05
299,Ddx18,0.000153722
300,Actr3,2.41E-05
301,Slc35f5,1.61E-05
302,Nckap5,-1.59E-05
303,Mgat5,-0.000221319
304,Tmem163,1.81E-05
305,Ccnt2,5.44E-05
306,Rab3gap1,1.19E-05
307,R3hdm1,2.65E-05
308,Ubxn4,3.51E-05
309,Mcm6,1.77E-06
310,Dars,9.83E-06
311,Cxcr4,8.25E-06
312,Cd55,8.02E-05
313,Yod1,4.00E-05
314,Fcmr,-0.000108734
315,Mapkapk2,6.86E-06
316,Eif2d,4.38E-05
317,Rassf5,9.20E-06
318,Srgap2,7.92E-06
319,Rab7b,-0.000108734
320,Slc41a1,7.90E-05
321,Rab29,-0.000108734
322,Nucks1,4.80E-05
323,Elk4,3.47E-06
324,Cdk18,1.49E-05
325,Nuak2,9.70E-06
326,Tmcc2,2.35E-05
327,Dstyk,1.39E-06
328,Rbbp5,6.60E-05
329,Mdm4,4.37E-05
330,Pik3c2b,1.07E-05
331,Ppp1r15b,5.69E-05
332,Plekha6,1.06E-05
333,Sox13,1.82E-05
334,Snrpe,-1.32E-05
335,Zc3h11a,-3.88E-05
336,Atp2b4,1.69E-05
337,Prelp,1.35E-05
338,Btg2,-3.73E-05
339,Chil1,-0.000108734
340,Ppfia4,-7.61E-05
341,Tmem183a,1.41E-05
342,Cyb5r1,4.89E-06
343,Adipor1,-3.61E-05
344,Klhl12,-4.02E-05
345,Rabif,-1.48E-05
346,Kdm5b,-1.55E-05
347,Ppp1r12b,-1.66E-05
348,Ptpn7,-1.49E-05
349,Arl8a,-3.65E-05
350,Rnpep,3.83E-05
351,Timm17a,6.92E-05
352,Lmod1,-9.00E-06
353,Shisa4,-3.08E-05
354,Ipo9,-2.14E-05
355,Nav1,1.56E-05
356,Csrp1,4.70E-05
357,Phlda3,-9.35E-05
358,Tmem9,1.16E-05
359,Kif21b,7.98E-06
360,Camsap2,-1.67E-05
361,Zfp281,4.41E-05
362,Ptprc,6.11E-05
363,Nek7,-1.57E-05
364,2310009B15Rik,4.50E-05
365,Dennd1b,2.60E-05
366,Zbtb41,4.43E-05
367,Cfh,5.45E-06
368,Cdc73,5.56E-05
369,Glrx2,2.51E-05
370,Trove2,5.82E-05
371,Uchl5,6.25E-05
372,Rgs2,1.76E-05
373,Rgs1,-2.90E-05
374,Rgs18,-5.84E-05
375,Pla2g4a,1.87E-05
376,Ptgs2,1.91E-05
377,Tpr,0.000100018
378,Hmcn1,-0.000117269
379,Ivns1abp,-2.92E-05
380,Swt1,-2.13E-05
381,Trmt1l,3.86E-05
382,Rnf2,1.48E-05
383,Fam129a,-3.91E-05
384,Edem3,1.26E-05
385,1700025G04Rik,5.43E-05
386,Tsen15,-9.35E-06
387,Colgalt2,-0.000241008
388,Rgl1,1.02E-05
389,Arpc5,9.99E-06
390,Ncf2,2.17E-05
391,Smg7,8.78E-05
392,Lamc2,-2.54E-05
393,Lamc1,6.41E-06
394,Dhx9,-3.75E-05
395,Rgs16,5.05E-05
396,Rnasel,-3.71E-05
397,Glul,3.12E-05
398,Ier5,1.86E-06
399,Mr1,3.14E-05
400,Stx6,-1.99E-05
401,Xpr1,8.40E-06
402,Acbd6,8.63E-05
403,Qsox1,-1.40E-05
404,Cep350,1.45E-05
405,Tor1aip1,-4.07E-05
406,Tor1aip2,3.95E-06
407,Soat1,5.30E-05
408,Abl2,1.34E-05
409,Tor3a,-4.13E-05
410,Fam20b,4.13E-05
411,Ralgps2,2.13E-05
412,Rasal2,9.81E-06
413,4930523C07Rik,-9.24E-05
414,Mrps14,-7.62E-06
415,Cacybp,5.08E-05
416,Rabgap1l,-7.34E-05
417,Rc3h1,-4.29E-05
418,Serpinc1,-3.12E-05
419,Zbtb37,-6.01E-05
420,Klhl20,1.12E-05
421,Prdx6,-3.39E-05
422,Fasl,-6.48E-05
423,Suco,-4.01E-05
424,Pigc,1.52E-05
425,Dnm3,-3.01E-05
426,Mettl13,-1.16E-05
427,Vamp4,0.000104776
428,Prrc2c,1.27E-06
429,Fmo1,9.32E-06
430,Fmo2,-3.80E-05
431,Prrx1,-0.000128772
432,Gorab,1.84E-05
433,Kifap3,1.56E-05
434,Scyl3,1.43E-05
435,Sell,2.54E-05
436,Ccdc181,7.28E-06
437,Blzf1,-2.45E-05
438,Nme7,-0.000123098
439,Atp1b1,-3.17E-05
440,Dpt,-7.65E-05
