,genes,pagerank
2222,Vcp,2.00E-05
2223,Stoml2,-4.89E-05
2224,Fam214b,5.63E-06
2225,Rusc2,-5.09E-06
2226,Tesk1,3.69E-05
2227,Cd72,-0.000187147
2228,Sit1,-0.000191896
2229,Ccdc107,-0.000159183
2230,Tpm2,6.82E-06
2231,Tln1,-6.45E-05
2232,Creb3,3.72E-05
2233,Gba2,3.89E-05
2234,Rgp1,1.99E-05
2235,Npr2,9.94E-05
2236,Hint2,-7.49E-05
2237,Hrct1,5.11E-06
2238,Reck,2.04E-05
2239,Glipr2,-5.27E-06
2240,Clta,-3.08E-05
2241,Gne,-3.27E-05
2242,Rnf38,2.09E-05
2243,Pax5,-5.93E-05
2244,Zcchc7,-4.24E-05
2245,Grhpr,2.02E-05
2246,Tomm5,-8.06E-05
2247,Trmt10b,1.12E-05
2248,Exosc3,3.44E-05
2249,Dcaf10,-5.42E-05
2250,Slc25a51,0.000105219
2251,Shb,1.25E-05
2252,Ccdc180,-0.000108734
2253,Tdrd7,6.59E-06
2254,Tmod1,-4.34E-05
2255,Tstd2,4.47E-05
2256,Ncbp1,-2.17E-06
2257,Xpa,3.45E-05
2258,Anp32b,5.43E-05
2259,Nans,3.09E-05
2260,Coro2a,3.04E-05
2261,Galnt12,-3.79E-05
2262,Col15a1,-4.63E-05
2263,Tgfbr1,9.46E-06
2264,Alg2,-7.89E-06
2265,Sec61b,-1.32E-05
2266,Nr4a3,-0.000103196
2267,Stx17,-3.94E-05
2268,Erp44,-6.87E-05
2269,Tex10,2.58E-05
2270,Msantd3,4.41E-05
2271,Mrpl50,1.38E-05
2272,Tmem246,6.65E-05
2273,Rnf20,2.72E-05
2274,Smc2,4.49E-06
2275,Nipsnap3b,4.74E-05
2276,Abca1,-1.22E-05
2277,Slc44a1,4.88E-06
2278,Fktn,4.74E-05
2279,Tmem38b,-5.13E-05
2280,Rad23b,-6.68E-05
2281,Klf4,1.25E-05
2282,Tmem245,7.17E-05
2283,Ptpn3,2.92E-05
2284,Akap2,-8.35E-05
2285,Txn1,0.000107764
2286,Svep1,-7.10E-05
2287,Lpar1,-3.82E-05
2288,Ptgr1,-5.77E-05
2289,Dnajc25,5.57E-05
2290,Gng10,-8.03E-05
2291,Ugcg,1.64E-05
2292,Ptbp3,-7.37E-05
2293,Hsdl2,2.91E-05
2294,E130308A19Rik,4.53E-05
2295,Inip,1.87E-05
2296,Snx30,-6.42E-05
2297,Slc31a2,-3.72E-05
2298,Fkbp15,3.17E-05
2299,Slc31a1,6.13E-05
2300,Cdc26,-0.000102324
2301,Prpf4,8.61E-06
2302,Alad,1.13E-06
2303,Pole3,-4.03E-05
2304,Rgs3,-0.000119606
2305,Col27a1,3.90E-05
2306,Akna,7.25E-06
2307,Atp6v1g1,3.51E-05
2308,Trim32,3.51E-05
2309,Tlr4,2.89E-05
2310,Megf9,6.91E-05
2311,Tle1,5.01E-05
2312,Kdm4c,5.92E-06
2313,Ptprd,-3.42E-06
2314,Lurap1l,-8.01E-05
2315,Mpdz,5.39E-05
2316,Nfib,7.01E-05
2317,Zdhhc21,3.17E-06
2318,Ttc39b,7.62E-05
2319,Snapc3,3.99E-06
2320,Psip1,2.79E-05
2321,Bnc2,6.69E-05
2322,Cntln,9.01E-06
2323,Adamtsl1,-5.14E-05
2324,Rraga,4.63E-06
2325,Haus6,3.86E-05
2326,Plin2,-0.000158113
2327,Dennd4c,6.07E-05
2328,Rps6,3.92E-05
2329,Acer2,9.19E-06
2330,Mllt3,5.81E-05
2331,Hacd4,-0.000108734
2332,Klhl9,-2.69E-05
2333,Mtap,-4.06E-05
2334,Cdkn2b,1.92E-06
2335,Tusc1,-2.18E-05
2336,Caap1,1.49E-05
2337,Plaa,3.74E-05
2338,Ift74,1.05E-05
2339,Tek,5.72E-06
2340,Mysm1,2.00E-05
2341,Jun,2.86E-05
2342,Fggy,-1.62E-05
2343,Cyp2j6,2.68E-05
2344,Cyp2j9,2.02E-05
2345,Nfia,6.99E-05
2346,Tm2d1,-4.15E-06
2347,Usp1,0.000108496
2348,Dock7,-5.47E-05
2349,Atg4c,-0.000209347
2350,Alg6,-1.82E-05
2351,Itgb3bp,1.80E-05
2352,Pgm2,7.50E-05
2353,Cachd1,9.00E-05
2354,Raver2,-0.000102613
2355,Jak1,0.00013238
2356,E130102H24Rik,-3.43E-05
2357,Leprot,-8.91E-05
2358,Lepr,-7.02E-06
2359,Pde4b,2.48E-05
2360,Sgip1,-2.69E-06
2361,Mier1,6.07E-05
2362,Slc35d1,5.79E-06
2363,Oma1,-1.90E-05
2364,Prkaa2,-4.49E-06
2365,Plpp3,-0.000108734
2366,Usp24,7.00E-05
2367,Dhcr24,0.00010915
2368,Ttc4,-3.34E-05
2369,Ssbp3,3.25E-06
2370,Mrpl37,-3.81E-05
2371,Tceanc2,-1.67E-05
2372,Tmem59,-2.28E-05
2373,Lrrc42,-7.45E-05
2374,Hspb11,-1.46E-05
2375,Yipf1,-1.09E-05
2376,Magoh,1.85E-05
2377,0610037L13Rik,-3.02E-05
2378,Cpt2,1.96E-05
2379,Podn,2.23E-05
2380,Scp2,2.90E-05
2381,Echdc2,-5.94E-05
2382,Zyg11b,-2.78E-05
2383,Coa7,-0.000108734
2384,Gpx7,4.22E-05
2385,Prpf38a,4.59E-05
2386,Cc2d1b,-2.14E-05
2387,Zfyve9,4.22E-05
2388,Btf3l4,-2.38E-06
2389,Txndc12,3.94E-05
2390,Kti12,8.82E-06
2391,Nrd1,7.00E-05
2392,Osbpl9,-3.16E-05
2393,Eps15,7.83E-06
2394,Rnf11,8.00E-05
2395,Cdkn2c,-4.48E-05
2396,Faf1,-5.40E-05
2397,Spata6,4.00E-06
2398,Trabd2b,-0.00012934
2399,Cmpk1,0.000104339
2400,Cyp4b1,2.26E-05
2401,Efcab14,-8.98E-06
2402,Atpaf1,2.16E-05
2403,Mob3c,2.24E-05
2404,Mknk1,9.70E-06
2405,Faah,7.33E-05
2406,Nsun4,-4.85E-05
2407,Uqcrh,6.91E-05
2408,Lrrc41,4.40E-05
2409,Pomgnt1,4.63E-05
2410,Mast2,1.05E-05
2411,Gpbp1l1,-5.85E-07
2412,Nasp,-2.77E-05
2413,Akr1a1,9.49E-05
2414,Prdx1,-1.15E-05
2415,Ccdc163,-7.60E-05
2416,Toe1,-5.96E-05
2417,Urod,-1.67E-05
2418,Hectd3,6.04E-06
2419,Eif2b3,-6.71E-05
2420,Btbd19,-0.00018684
2421,Plk3,-2.57E-05
2422,Rps8,7.03E-05
2423,Tmem53,4.40E-06
2424,Rnf220,8.67E-05
2425,Eri3,9.17E-06
2426,Dmap1,9.68E-06
2427,B4galt2,-5.01E-05
2428,Atp6v0b,4.88E-05
2429,Dph2,3.57E-05
2430,Ipo13,-9.23E-05
2431,St3gal3,2.34E-05
2432,Kdm4a,3.58E-06
2433,Ptprf,2.06E-05
2434,Szt2,-2.26E-05
2435,Med8,9.42E-05
2436,Elovl1,9.43E-05
2437,Tie1,1.93E-05
2438,Ebna1bp2,6.92E-06
2439,Slc2a1,4.25E-05
2440,Svbp,-0.000108734
2441,AU022252,1.31E-05
2442,P3h1,-0.000108734
2443,Ybx1,0.000128007
2444,Ppih,1.23E-05
2445,Ppcs,-1.25E-05
2446,Foxj3,2.16E-05
2447,Hivep3,-7.85E-06
2448,Scmh1,2.09E-05
2449,Ctps,-4.59E-05
2450,Nfyc,3.26E-05
2451,Smap2,4.03E-05
2452,Zmpste24,-6.76E-05
2453,Rlf,2.22E-05
2454,Ppt1,2.02E-05
2455,Cap1,-1.86E-05
2456,Trit1,1.72E-05
2457,Ppie,2.56E-05
2458,Heyl,-0.000239915
2459,Pabpc4,7.80E-05
2460,Macf1,6.46E-05
2461,Ndufs5,-7.05E-05
2462,Akirin1,6.77E-06
2463,Mycbp,1.99E-05
2464,Rragc,1.94E-05
2465,Pou3f1,-9.12E-05
2466,Sf3a3,3.60E-05
2467,Inpp5b,3.67E-05
2468,Mtf1,2.38E-06
2469,1110065P20Rik,1.82E-05
2470,Yrdc,1.59E-05
2471,Rspo1,-8.52E-05
2472,Gnl2,-2.08E-05
2473,Snip1,-1.90E-05
2474,Meaf6,2.50E-06
2475,Zc3h12a,1.12E-05
2476,Csf3r,1.79E-05
2477,Mrps15,-5.21E-05
2478,Oscp1,-1.95E-06
2479,Lsm10,1.57E-05
2480,Stk40,9.20E-06
2481,Eva1b,-5.13E-05
2482,Sh3d21,1.13E-05
2483,Thrap3,5.93E-06
2484,Map7d1,7.64E-05
2485,Trappc3,-5.59E-06
2486,Adprhl2,5.14E-06
2487,Ago3,-1.33E-05
2488,Ago1,8.98E-06
2489,Ago4,-4.24E-05
2490,5730409E04Rik,2.55E-05
2491,Psmb2,-0.000119389
2492,Ncdn,-9.74E-06
2493,AU040320,1.34E-05
2494,Zmym4,7.32E-07
2495,Sfpq,5.94E-05
2496,Zmym1,9.30E-06
2497,Smim12,5.74E-05
2498,Gja4,8.61E-06
2499,Phc2,8.20E-05
2500,Zfp362,-2.04E-05
2501,Azin2,-0.000108734
2502,Ak2,-5.36E-06
2503,Rnf19b,2.17E-06
2504,Fndc5,-2.69E-06
2505,S100pbp,1.16E-05
2506,Yars,1.98E-05
2507,C77080,7.49E-06
2508,Rbbp4,0.000133335
2509,Zbtb8os,-7.12E-05
2510,Zbtb8a,1.24E-05
2511,Bsdc1,-3.23E-05
2512,Marcksl1,1.06E-05
2513,Hdac1,8.35E-06
2514,Lck,1.03E-05
2515,Eif3i,-5.70E-06
2516,Tmem234,-4.54E-05
2517,Iqcc,8.16E-06
2518,Ccdc28b,3.68E-05
2519,Txlna,8.70E-06
2520,Kpna6,7.90E-06
2521,Tmem39b,1.72E-05
2522,Khdrbs1,4.12E-05
2523,Ptp4a2,0.000179036
2524,Col16a1,-3.08E-06
2525,Pef1,0.000121333
2526,Tinagl1,-0.00013258
2527,Fabp3,2.45E-05
2528,Zcchc17,6.20E-05
2529,Snrnp40,3.05E-05
2530,Pum1,0.000108425
2531,Sdc3,-2.83E-05
2532,Laptm5,8.34E-05
2533,Ptpru,2.93E-05
2534,Mecr,1.35E-05
2535,Srsf4,-6.71E-05
2536,Epb41,-0.000108734
2537,Ythdf2,-1.30E-05
2538,Gmeb1,2.45E-05
2539,Taf12,5.30E-06
2540,Snhg12,2.00E-05
2541,Trnau1ap,-3.44E-05
2542,Phactr4,2.58E-06
2543,Sesn2,-3.77E-05
2544,Atpif1,4.70E-06
2545,Dnajc8,3.39E-05
2546,Ptafr,-0.000150595
2547,Eya3,1.17E-05
2548,Smpdl3b,1.65E-06
2549,Rpa2,2.63E-05
2550,Themis2,2.78E-05
2551,Ppp1r8,4.37E-05
2552,Stx12,6.94E-05
2553,Fam76a,-5.14E-06
2554,Fgr,-3.09E-06
2555,Ahdc1,3.77E-05
2556,Wasf2,-4.95E-05
2557,Map3k6,-2.11E-05
2558,Tmem222,9.46E-06
2559,Wdtc1,3.05E-06
2560,Slc9a1,2.14E-05
2561,Nudc,-1.56E-05
2562,Gpatch3,-8.79E-05
2563,Gpn2,7.58E-05
2564,Sfn,-5.32E-05
2565,Zdhhc18,8.02E-06
2566,Pigv,5.94E-05
2567,Arid1a,4.28E-05
2568,Rps6ka1,4.27E-05
2569,Hmgn2,-9.87E-05
2570,Dhdds,3.98E-05
2571,Cd52,4.63E-05
2572,Ubxn11,3.12E-05
2573,Sh3bgrl3,-2.66E-05
2574,Cep85,5.48E-06
2575,Zfp593,3.06E-05
2576,Grrp1,1.42E-05
2577,Pafah2,-1.81E-05
2578,Stmn1,-0.000145292
2579,Paqr7,-3.16E-05
2580,Mtfr1l,2.83E-05
2581,Man1c1,1.44E-05
2582,Ldlrap1,3.03E-05
2583,Tmem50a,5.11E-05
2584,Rsrp1,-0.000108734
2585,Syf2,-5.24E-05
2586,Runx3,4.00E-06
2587,Clic4,-4.85E-05
2588,Srrm1,0.000117833
2589,Rcan3,-1.70E-05
2590,Nipal3,1.01E-06
2591,Srsf10,-4.62E-05
2592,Pnrc2,-5.44E-05
2593,Fuca1,6.82E-05
2594,Hmgcl,3.43E-05
2595,Lypla2,2.10E-05
2596,Pithd1,5.36E-05
2597,Rpl11,-4.85E-05
2598,Id3,3.39E-05
2599,E2f2,-1.82E-05
2600,Tcea3,6.52E-05
2601,Zfp46,5.61E-05
2602,Hnrnpr,2.61E-05
2603,Luzp1,5.02E-05
2604,Kdm1a,-7.10E-06
2605,C1qb,2.00E-05
2606,C1qc,2.21E-05
2607,C1qa,3.19E-05
2608,Wnt4,-3.91E-05
2609,Cdc42,0.00012917
2610,Hspg2,-7.88E-06
2611,Usp48,3.62E-05
2612,Ece1,-8.23E-05
2613,Eif4g3,3.16E-05
2614,Hp1bp3,7.31E-05
2615,Ddost,-1.65E-05
2616,Pink1,6.52E-06
2617,Cda,-0.000280391
2618,Mul1,4.14E-06
2619,Camk2n1,7.14E-05
2620,Otud3,-3.52E-05
2621,Nbl1,-2.22E-05
2622,Minos1,-4.01E-06
2623,Gm16287,-6.25E-05
2624,Capzb,-4.97E-05
2625,Pqlc2,5.68E-06
2626,Akr7a5,-5.04E-05
2627,Mrto4,2.83E-05
2628,Emc1,2.04E-05
2629,Ubr4,1.92E-05
2630,Iffo2,2.70E-05
2631,Arhgef10l,3.33E-06
2632,Rcc2,-1.59E-05
2633,Sdhb,-3.31E-05
2634,Atp13a2,1.42E-05
2635,Mfap2,1.16E-05
2636,Necap2,4.78E-05
2637,Szrd1,3.49E-05
2638,Fbxo42,8.25E-06
2639,Gm13056,-4.29E-05
2640,Epha2,2.27E-05
2641,Zbtb17,6.86E-06
2642,Spen,3.09E-05
2643,Fblim1,2.64E-05
2644,Tmem82,-2.69E-06
2645,Plekhm2,-1.90E-05
2646,Ddi2,-6.94E-06
2647,Dnajc16,1.62E-05
2648,Efhd2,-4.28E-05
2649,Tmem51,1.07E-05
2650,Kazn,-3.19E-05
2651,Prdm2,-4.93E-06
2652,Pdpn,-6.26E-05
2653,Pramef8,-1.43E-05
2654,Dhrs3,-9.48E-05
2655,Vps13d,1.22E-07
2656,Tnfrsf1b,6.15E-06
2657,Zfp933,8.41E-06
2658,Miip,2.77E-05
2659,Mfn2,2.78E-05
2660,Plod1,1.84E-05
2661,2510039O18Rik,8.88E-05
2662,Mthfr,-4.46E-05
2663,Agtrap,1.32E-05
2664,Mad2l2,-1.18E-05
2665,Fbxo6,1.90E-06
2666,Fbxo2,7.75E-05
2667,Mtor,5.03E-05
2668,Exosc10,-1.52E-05
2669,Srm,-2.82E-05
2670,Tardbp,0.00010624
2671,Casz1,-3.18E-05
2672,Pex14,1.51E-05
2673,Dffa,8.88E-06
2674,Pgd,6.16E-05
2675,Kif1b,1.19E-05
2676,Ube4b,-5.20E-05
2677,Lzic,-1.80E-05
2678,Ctnnbip1,-3.69E-06
2679,Clstn1,1.32E-05
2680,Pik3cd,-9.91E-05
2681,Slc25a33,1.68E-05
2682,Spsb1,3.50E-05
2683,H6pd,3.33E-05
2684,Eno1,4.93E-05
2685,Rere,4.78E-05
2686,Errfi1,2.35E-05
2687,Park7,-1.35E-05
2688,Camta1,-1.94E-05
2689,Per3,2.33E-05
2690,Vamp3,-1.63E-05
2691,Dnajc11,7.91E-05
2692,Thap3,-7.70E-06
2693,Phf13,1.50E-05
2694,Klhl21,4.29E-05
2695,Plekhg5,2.67E-05
2696,Espn,1.24E-05
2697,Acot7,9.31E-05
2698,Gpr153,-4.29E-05
2699,Icmt,2.28E-05
2700,Rpl22,5.72E-05
2701,Kcnab2,-5.19E-05
2702,A430005L14Rik,1.08E-05
2703,Dffb,2.28E-05
2704,Cep104,9.88E-06
2705,Lrrc47,-1.39E-05
2706,Smim1,-0.000116311
2707,Wrap73,0.000101905
2708,Tprgl,-3.45E-05
2709,Megf6,4.17E-05
2710,Prdm16,2.21E-05
2711,Fam213b,1.65E-05
2712,Pank4,-5.93E-06
2713,Pex10,2.10E-05
2714,Rer1,4.19E-06
2715,Morn1,2.61E-05
2716,Ski,-4.89E-05
2717,Faap20,-0.000108734
2718,Prkcz,4.80E-05
2719,Gnb1,-1.99E-05
2720,Nadk,-4.78E-05
2721,Slc35e2,8.04E-05
2722,Cdk11b,-1.38E-05
2723,Mmp23,-0.000116961
2724,Mib2,7.82E-06
2725,Ssu72,3.07E-05
2726,Atad3a,1.20E-05
2727,Vwa1,1.16E-05
2728,Mrpl20,6.02E-06
2729,Ccnl2,2.98E-05
2730,Aurkaip1,6.59E-05
2731,Mxra8,4.21E-06
2732,Dvl1,4.74E-05
2733,Cptp,-0.000108734
2734,Pusl1,2.29E-05
2735,Acap3,-4.74E-06
2736,Ube2j2,6.28E-05
2737,B3galt6,-9.28E-06
2738,Sdf4,5.66E-05
2739,Tnfrsf18,-0.000167201
2740,Agrn,-9.01E-06
2741,Isg15,-5.66E-05
2742,Klhl17,3.98E-05
2743,Noc2l,3.33E-05
2744,Cdk6,2.88E-06
2745,Fam133b,3.01E-05
2746,Rbm48,1.77E-06
2747,Pex1,8.31E-05
2748,Gatad1,9.92E-06
2749,Ankib1,-1.28E-05
2750,Krit1,-2.10E-05
2751,Akap9,1.15E-05
2752,Cyp51,1.78E-05
2753,Fzd1,-1.69E-05
2754,Cdk14,-4.50E-05
2755,Cldn12,1.57E-05
2756,Gtpbp10,9.75E-06
2757,Steap4,2.24E-05
2758,Sri,-7.46E-07
2759,Dbf4,1.84E-05
2760,Slc25a40,-2.09E-05
2761,Abcb1a,-2.13E-05
2762,Abcb1b,-2.23E-05
2763,Crot,3.93E-05
2764,Tmem243,7.18E-05
2765,Dmtf1,1.96E-06
2766,Sema3d,2.61E-05
2767,Cacna2d1,4.29E-05
2768,Sema3c,2.50E-05
2769,Cd36,2.42E-05
2770,Gnai1,-1.77E-05
2771,Tmem60,7.42E-05
2772,Rsbn1l,-4.97E-06
2773,A630072M18Rik,-0.000108734
2774,Ptpn12,-1.27E-05
2775,Gsap,-7.02E-05
2776,Ccdc146,3.97E-06
2777,Fgl2,1.52E-06
2778,Lrrc17,-2.69E-06
2779,Armc10,2.77E-05
2780,Pmpcb,-2.89E-05
2781,Dnajc2,4.74E-05
2782,Psmc2,7.95E-05
2783,5031425E22Rik,1.74E-05
2784,Kmt2e,6.10E-05
2785,Srpk2,-5.35E-05
2786,Pus7,3.17E-06
2787,Rint1,3.46E-05
2788,Tomm7,2.27E-05
2789,2700038G22Rik,7.55E-05
2790,Fam126a,2.90E-05
2791,Klhl7,2.67E-05
2792,Kcnh2,-0.000142378
2793,Abcb8,-9.33E-06
2794,Cdk5,-1.26E-05
2795,Slc4a2,-1.95E-05
2796,Fastk,-3.10E-05
2797,Tmub1,8.32E-06
2798,Agap3,-5.26E-05
2799,Abcf2,8.66E-05
2800,Chpf2,7.50E-06
2801,Smarcd3,1.56E-05
2802,Nub1,-7.23E-05
2803,Rheb,-0.000136464
2804,Prkag2,8.96E-06
2805,Galnt11,1.31E-05
2806,Kmt2c,0.000100543
2807,1700096K18Rik,-0.000108734
2808,Paxip1,8.12E-05
2809,Insig1,5.84E-05
2810,Rbm33,2.69E-05
2811,Lmbr1,-8.97E-06
2812,Nom1,-2.37E-05
2813,Ube3c,-5.90E-06
2814,Dnajb6,-3.36E-05
2815,Il6,4.44E-05
2816,Tyms,-2.19E-05
2817,Hadha,1.76E-06
2818,Hadhb,8.25E-05
2819,Kcnk3,-3.49E-05
2820,Slc35f6,1.06E-05
2821,Cenpa,-1.67E-05
2822,Mapre3,1.04E-05
2823,Tmem214,1.56E-05
2824,Ost4,-0.000105558
2825,Emilin1,9.90E-06
2826,Khk,-8.68E-05
2827,Preb,-3.27E-05
2828,Atraid,-0.00011088
2829,Mpv17,-3.25E-05
2830,Gtf3c2,-4.50E-05
2831,Eif2b4,9.99E-05
2832,Snx17,-2.62E-05
2833,Zfp513,2.15E-05
2834,Ppm1g,-7.77E-05
2835,Nrbp1,4.40E-05
2836,Ift172,6.12E-05
2837,Zfp512,-3.25E-05
2838,Gpn1,1.21E-05
2839,Supt7l,3.51E-06
2840,Slc4a1ap,-1.07E-05
2841,Mrpl33,-3.78E-05
2842,Rbks,5.38E-05
2843,Fosl2,1.25E-05
2844,Ppp1cb,1.25E-05
2845,Yes1,-5.51E-05
2846,Pisd,0.000145398
2847,Prr14l,-1.21E-05
2848,Depdc5,2.20E-05
2849,Ywhah,8.43E-05
2850,Spon2,-7.21E-06
2851,Ctbp1,4.38E-05
2852,Maea,0.000111123
2853,Uvssa,4.39E-06
2854,Fam53a,2.50E-05
2855,Slbp,5.09E-05
2856,Tmem129,4.48E-05
2857,Fgfr3,8.04E-05
2858,Letm1,-1.95E-05
2859,Nelfa,6.67E-05
2860,Gm1673,0.000101665
2861,Haus3,3.20E-05
2862,Mxd4,4.31E-05
2863,Rnf4,-1.51E-05
2864,Fam193a,-9.75E-07
2865,Tnip2,4.47E-06
2866,Sh3bp2,-7.73E-05
2867,Add1,-2.68E-05
2868,Mfsd10,8.41E-06
2869,Nop14,6.17E-05
2870,Htt,6.20E-05
2871,Rgs12,1.15E-05
2872,Lrpap1,-5.00E-05
2873,Cpz,-2.69E-06
2874,Acox3,5.35E-06
2875,Htra3,2.03E-05
2876,Sh3tc1,2.72E-05
2877,Afap1,2.34E-05
2878,Grpel1,-5.22E-05
2879,Tada2b,-1.36E-05
2880,Tbc1d14,-1.40E-05
2881,D5Ertd579e,2.95E-07
2882,Bloc1s4,4.24E-05
2883,Mrfap1,2.87E-05
2884,Man2b2,1.44E-05
2885,Wfs1,2.53E-05
2886,Jakmip1,-4.84E-08
2887,Evc,-0.000287523
2888,Evc2,-9.76E-05
2889,Msx1,3.82E-05
2890,Stx18,1.91E-05
2891,Nsg1,-1.15E-05
2892,Lyar,1.03E-05
2893,Tmem128,4.52E-05
2894,Slc2a9,-0.000164808
2895,Wdr1,-8.45E-06
2896,Hs3st1,-3.32E-05
2897,Rab28,-4.14E-05
2898,Bod1l,7.00E-05
2899,Cpeb2,7.69E-06
2900,C1qtnf7,-7.93E-05
2901,Cc2d2a,3.80E-05
2902,Fbxl5,-1.82E-05
2903,Bst1,1.82E-05
2904,Cd38,1.88E-05
2905,Tapt1,8.88E-06
2906,Ldb2,7.71E-06
2907,Qdpr,1.52E-05
2908,Lap3,5.67E-05
2909,Med28,-0.00011201
2910,Lcorl,-2.19E-05
2911,Slit2,2.88E-05
2912,Pacrgl,3.37E-05
2913,Adgra3,-0.000108734
2914,Dhx15,-1.34E-05
2915,Sod3,6.42E-06
2916,Sepsecs,-9.28E-05
2917,Pi4k2b,7.43E-05
2918,Zcchc4,9.55E-06
2919,Anapc4,-2.16E-05
2920,Smim20,5.26E-05
2921,Rbpj,5.22E-06
2922,Tbc1d19,4.41E-05
2923,Stim2,1.05E-05
2924,Pcdh7,-5.75E-05
2925,Arap2,1.61E-05
2926,Rell1,-2.72E-05
2927,Pgm1,-1.86E-05
2928,Tbc1d1,2.01E-05
2929,Klf3,-5.32E-05
2930,Fam114a1,-0.000105543
2931,Klhl5,5.05E-06
2932,Rfc1,-4.90E-06
2933,Rpl9,6.65E-06
2934,Lias,3.81E-05
2935,Ugdh,4.57E-05
2936,Smim14,4.09E-05
2937,Ube2k,7.96E-05
2938,Pds5a,1.38E-05
2939,N4bp2,-4.06E-05
2940,Rhoh,-1.78E-05
2941,Rbm47,5.10E-05
2942,Apbb2,2.12E-05
2943,Uchl1,-4.08E-05
2944,Limch1,-9.33E-05
2945,Tmem33,-3.66E-05
2946,Slc30a9,6.10E-06
2947,Atp8a1,3.00E-05
2948,Guf1,9.52E-06
2949,Gnpda2,2.45E-06
2950,Commd8,-3.47E-05
2951,Nfxl1,8.60E-05
2952,Txk,3.73E-05
2953,Slain2,4.70E-05
2954,Fryl,-6.69E-05
2955,Ociad1,-3.62E-05
2956,Sgcb,6.09E-06
2957,Usp46,9.09E-05
2958,Rasl11b,-3.36E-05
2959,Scfd2,8.85E-06
2960,Fip1l1,-1.58E-05
2961,Chic2,4.21E-05
2962,Pdgfra,3.04E-05
2963,Kit,1.38E-05
2964,Kdr,-2.71E-05
2965,Srd5a3,-2.71E-05
2966,Tmem165,3.15E-05
2967,Clock,2.10E-05
2968,Exoc1,6.28E-05
2969,Ppat,-1.29E-05
2970,Paics,-3.74E-05
2971,Srp72,-4.81E-06
2972,Hopx,-7.74E-06
2973,Rest,9.96E-05
2974,Noa1,-8.12E-05
2975,Polr2b,5.22E-05
2976,Igfbp7,-0.0001888
2977,Adgrl3,-0.000108734
2978,Cenpc1,1.98E-05
2979,Stap1,-4.76E-06
2980,Uba6,2.13E-05
2981,Ythdc1,-3.14E-05
2982,Utp3,3.63E-06
2983,Rufy3,2.32E-05
2984,Grsf1,5.04E-05
2985,Mob1b,5.45E-05
2986,Dck,-8.39E-05
2987,Slc4a4,1.26E-05
2988,Cox18,2.31E-05
2989,Ankrd17,0.000127102
2990,Pf4,1.58E-05
2991,Cxcl1,6.69E-05
2992,Cxcl2,-9.22E-05
2993,Mthfd2l,-2.12E-07
2994,Areg,1.60E-05
2995,Rchy1,3.63E-05
2996,Cdkl2,1.24E-05
2997,G3bp2,0.000104225
2998,Uso1,-4.73E-05
2999,Naaa,1.24E-05
3000,Sdad1,1.49E-05
3001,Art3,2.55E-05
3002,Cxcl10,-7.72E-05
3003,Nup54,4.96E-06
3004,Scarb2,4.52E-05
3005,Stbd1,-4.90E-05
3006,Shroom3,5.16E-06
3007,Ccni,2.73E-05
3008,Ccng2,4.98E-05
3009,Cnot6l,-9.19E-05
3010,Mrpl1,1.64E-05
3011,Anxa3,-9.02E-05
3012,Bmp2k,5.14E-05
3013,Antxr2,-4.09E-05
3014,Prkg2,-0.000222422
3015,Rasgef1b,-1.56E-05
3016,Hnrnpd,4.03E-05
3017,Hnrnpdl,-6.03E-05
3018,Enoph1,7.48E-06
3019,Sec31a,4.05E-05
3020,5430416N02Rik,-7.10E-06
3021,Lin54,4.03E-05
3022,Cops4,1.20E-05
3023,Plac8,-8.88E-05
3024,Coq2,6.74E-06
3025,Mrps18c,0.000101924
3026,Wdfy3,-8.42E-06
3027,Arhgap24,1.94E-05
3028,Ptpn13,4.87E-05
3029,Slc10a6,-9.97E-05
3030,Aff1,5.11E-05
3031,Hsd17b11,-7.14E-05
3032,Nudt9,-5.58E-05
3033,Sparcl1,3.60E-06
3034,Spp1,3.44E-06
3035,Pkd2,2.90E-05
3036,BC005561,5.00E-05
3037,D930016D06Rik,3.85E-06
3038,Gbp9,-2.36E-05
3039,Gbp4,-3.66E-06
3040,Lrrc8b,-2.64E-06
3041,Lrrc8c,0.000124342
3042,Lrrc8d,0.000110943
3043,Zfp326,-4.02E-05
3044,Zfp644,-6.30E-05
3045,Tgfbr3,1.97E-05
3046,Rpap2,2.06E-05
3047,Evi5,3.10E-05
3048,Rpl5,6.86E-06
3049,Fam69a,2.42E-06
3050,Mtf2,3.27E-05
3051,Tmed5,6.31E-05
3052,Dr1,-8.73E-06
3053,Pigg,3.08E-05
3054,Atp5k,-7.17E-05
3055,Pcgf3,-7.07E-06
3056,Gak,4.45E-05
3057,Tmem175,1.07E-05
3058,Idua,-1.86E-05
3059,Fgfrl1,2.27E-05
3060,Crlf2,2.44E-05
3061,Zfp932,1.65E-05
3062,Gtpbp6,1.69E-05
3063,Chfr,9.14E-05
3064,Golga3,-6.20E-05
3065,Ankle2,0.000130852
3066,Pgam5,1.27E-05
3067,Pxmp2,7.07E-06
3068,Fbrsl1,4.68E-05
3069,Noc4l,2.31E-05
3070,Ddx51,2.73E-05
3071,Ep400,5.34E-05
3072,Pus1,7.12E-06
3073,Ulk1,-5.39E-06
3074,Hscb,-1.29E-05
3075,Chek2,-3.90E-05
3076,Ttc28,1.14E-05
3077,Pitpnb,3.63E-05
3078,Mn1,-0.00010345
