,genes,degree,pagerank
189,Ankzf1,0,5.07E-06
190,Stk16,0,5.07E-06
191,Tuba4a,0,5.07E-06
192,Dnajb2,0,5.07E-06
193,Dnpep,0,5.07E-06
194,Des,0,5.07E-06
195,Speg,-1,0
196,Gmppa,0,5.07E-06
197,Chpf,0,5.07E-06
198,Obsl1,0,5.07E-06
199,Epha4,0,5.07E-06
200,Farsb,0,5.07E-06
201,Acsl3,0,5.07E-06
202,Utp14b,-2,0
203,Kcne4,24,2.00E-05
204,Ap1s3,0,5.07E-06
205,Wdfy1,0,5.07E-06
206,Mrpl44,0,5.07E-06
207,Serpine2,0,5.07E-06
208,Cul3,0,5.07E-06
209,Dock10,0,5.07E-06
210,Rhbdd1,0,5.07E-06
211,Col4a4,-82,0
212,Col4a3,-3,0
213,Mff,0,5.07E-06
214,Agfg1,0,5.07E-06
215,Pid1,6,0
216,Trip12,0,5.07E-06
217,Fbxo36,0,5.07E-06
218,A530032D15Rik,2,0
219,Sp110,0,5.07E-06
220,Sp140,0,5.07E-06
221,Sp100,0,5.07E-06
222,A630001G21Rik,0,5.07E-06
223,Cab39,0,5.07E-06
224,Itm2c,0,5.07E-06
225,Psmd1,0,5.07E-06
226,Ncl,0,5.07E-06
227,Ptma,113,0
228,Pde6d,0,5.07E-06
229,Cops7b,0,5.07E-06
230,Dis3l2,0,5.07E-06
231,Eif4e2,0,5.07E-06
232,Gigyf2,0,5.07E-06
233,Inpp5d,-10,0
234,Atg16l1,0,5.07E-06
235,Sag,0,5.07E-06
236,Dgkd,0,5.07E-06
237,Usp40,0,5.07E-06
238,Hjurp,0,5.07E-06
239,Arl4c,-1,2.75E-06
240,Sh3bp4,-10,-1.73E-05
241,Agap1,0,5.07E-06
242,Ackr3,-3,-4.33E-06
243,Cops8,0,5.07E-06
244,Col6a3,0,5.07E-06
245,Lrrfip1,-157,0
246,Ramp1,141,0
247,Ube2f,0,5.07E-06
248,Scly,0,5.07E-06
249,Ilkap,0,5.07E-06
250,Hes6,0,5.07E-06
251,Per2,0,5.07E-06
252,Traf3ip1,0,5.07E-06
253,Asb1,0,5.07E-06
254,Hdac4,0,5.07E-06
255,Ndufa10,0,5.07E-06
256,Gpc1,-1,0
257,Dusp28,0,5.07E-06
258,Rnpepl1,0,5.07E-06
259,9430060I03Rik,-1,0
260,Gpr35,-19,0
261,Sned1,0,5.07E-06
262,Mterf4,0,5.07E-06
263,Ppp1r7,0,5.07E-06
264,Hdlbp,0,5.07E-06
265,Stk25,0,5.07E-06
266,Bok,-39,-8.11E-05
267,Thap4,0,5.07E-06
268,Atg4b,0,5.07E-06
269,Dtymk,0,5.07E-06
270,Ing5,0,5.07E-06
271,Fam174a,0,5.07E-06
272,St8sia4,2,0
273,D1Ertd622e,0,5.07E-06
274,Ppip5k2,0,5.07E-06
275,Gin1,0,5.07E-06
276,Pam,0,5.07E-06
277,Zcchc2,0,5.07E-06
278,Phlpp1,0,5.07E-06
279,Bcl2,0,5.07E-06
280,Kdsr,0,5.07E-06
281,Vps4b,0,5.07E-06
282,Serpinb8,0,5.07E-06
283,Dsel,-1,0
284,Tsn,0,5.07E-06
285,Nifk,0,5.07E-06
286,Clasp1,0,5.07E-06
287,2900060B14Rik,0,5.07E-06
288,Inhbb,0,5.07E-06
289,Ralb,0,5.07E-06
290,Tmem185b,0,5.07E-06
291,Epb41l5,-105,0
292,Ptpn4,0,5.07E-06
293,Tmem37,-48,4.61E-05
294,Dbi,80,3.83E-05
295,3110009E18Rik,0,5.07E-06
296,Steap3,0,5.07E-06
297,Insig2,0,5.07E-06
298,Ccdc93,0,5.07E-06
299,Ddx18,0,5.07E-06
300,Actr3,0,5.07E-06
301,Slc35f5,0,5.07E-06
302,Nckap5,0,5.07E-06
303,Mgat5,0,5.07E-06
304,Tmem163,0,5.07E-06
305,Ccnt2,0,5.07E-06
306,Rab3gap1,0,5.07E-06
307,R3hdm1,0,5.07E-06
308,Ubxn4,0,5.07E-06
309,Mcm6,0,5.07E-06
310,Dars,0,5.07E-06
311,Cxcr4,-3,-8.12E-05
312,Cd55,0,5.07E-06
313,Yod1,0,5.07E-06
314,Fcmr,0,5.07E-06
315,Mapkapk2,0,5.07E-06
316,Eif2d,0,5.07E-06
317,Rassf5,20,0
318,Srgap2,0,5.07E-06
319,Rab7b,-2,0
320,Slc41a1,0,5.07E-06
321,Rab29,0,5.07E-06
322,Nucks1,0,5.07E-06
323,Elk4,0,5.07E-06
324,Cdk18,0,5.07E-06
325,Nuak2,0,5.07E-06
326,Tmcc2,0,5.07E-06
327,Dstyk,0,5.07E-06
328,Rbbp5,0,5.07E-06
329,Mdm4,0,5.07E-06
330,Pik3c2b,0,5.07E-06
331,Ppp1r15b,0,5.07E-06
332,Plekha6,0,5.07E-06
333,Sox13,0,5.07E-06
334,Snrpe,0,5.07E-06
335,Zc3h11a,0,5.07E-06
336,Atp2b4,0,5.07E-06
337,Prelp,0,5.07E-06
338,Btg2,0,5.07E-06
339,Chil1,75,-6.02E-05
340,Ppfia4,-5,-7.87E-05
341,Tmem183a,0,5.07E-06
342,Cyb5r1,0,5.07E-06
343,Adipor1,0,5.07E-06
344,Klhl12,0,5.07E-06
345,Rabif,0,5.07E-06
346,Kdm5b,0,5.07E-06
347,Ppp1r12b,0,5.07E-06
348,Ptpn7,0,5.07E-06
349,Arl8a,0,5.07E-06
350,Rnpep,0,5.07E-06
351,Timm17a,0,5.07E-06
352,Lmod1,15,0
353,Shisa4,0,5.07E-06
354,Ipo9,0,5.07E-06
355,Nav1,0,5.07E-06
356,Csrp1,0,5.07E-06
357,Phlda3,0,5.07E-06
358,Tmem9,0,5.07E-06
359,Kif21b,0,5.07E-06
360,Camsap2,0,5.07E-06
361,Zfp281,0,5.07E-06
362,Ptprc,4,0
363,Nek7,0,5.07E-06
364,2310009B15Rik,0,5.07E-06
365,Dennd1b,0,5.07E-06
366,Zbtb41,0,5.07E-06
367,Cfh,0,5.07E-06
368,Cdc73,0,5.07E-06
369,Glrx2,0,5.07E-06
370,Trove2,0,5.07E-06
371,Uchl5,0,5.07E-06
372,Rgs2,0,5.07E-06
373,Rgs1,0,5.07E-06
374,Rgs18,-22,0
375,Pla2g4a,0,5.07E-06
376,Ptgs2,0,5.07E-06
377,Tpr,0,5.07E-06
378,Hmcn1,-1,0
379,Ivns1abp,0,5.07E-06
380,Swt1,0,5.07E-06
381,Trmt1l,0,5.07E-06
382,Rnf2,0,5.07E-06
383,Fam129a,0,5.07E-06
384,Edem3,0,5.07E-06
385,1700025G04Rik,0,5.07E-06
386,Tsen15,0,5.07E-06
387,Colgalt2,0,5.07E-06
388,Rgl1,0,5.07E-06
389,Arpc5,-66,0
390,Ncf2,0,5.07E-06
391,Smg7,0,5.07E-06
392,Lamc2,-17,-3.53E-05
393,Lamc1,0,5.07E-06
394,Dhx9,0,5.07E-06
395,Rgs16,0,5.07E-06
396,Rnasel,0,5.07E-06
397,Glul,-7,-1.80E-05
398,Ier5,0,5.07E-06
399,Mr1,0,5.07E-06
400,Stx6,0,5.07E-06
401,Xpr1,0,5.07E-06
402,Acbd6,0,5.07E-06
403,Qsox1,0,5.07E-06
404,Cep350,0,5.07E-06
405,Tor1aip1,0,5.07E-06
406,Tor1aip2,0,5.07E-06
407,Soat1,72,0
408,Abl2,0,5.07E-06
409,Tor3a,21,6.99E-05
410,Fam20b,0,5.07E-06
411,Ralgps2,0,5.07E-06
412,Rasal2,0,5.07E-06
413,4930523C07Rik,-46,1.71E-05
414,Mrps14,0,5.07E-06
415,Cacybp,0,5.07E-06
416,Rabgap1l,80,0
417,Rc3h1,0,5.07E-06
418,Serpinc1,0,5.07E-06
419,Zbtb37,0,5.07E-06
420,Klhl20,0,5.07E-06
421,Prdx6,-99,-1.27E-05
422,Fasl,0,5.07E-06
423,Suco,0,5.07E-06
424,Pigc,0,5.07E-06
425,Dnm3,-3,5.00E-07
426,Mettl13,0,5.07E-06
427,Vamp4,0,5.07E-06
428,Prrc2c,0,5.07E-06
429,Fmo1,0,5.07E-06
430,Fmo2,0,5.07E-06
431,Prrx1,0,5.07E-06
432,Gorab,0,5.07E-06
433,Kifap3,0,5.07E-06
434,Scyl3,0,5.07E-06
