,genes,degree,pagerank
2665,Fbxo6,0,5.07E-06
2666,Fbxo2,0,5.07E-06
2667,Mtor,0,5.07E-06
2668,Exosc10,0,5.07E-06
2669,Srm,0,5.07E-06
2670,Tardbp,0,5.07E-06
2671,Casz1,0,5.07E-06
2672,Pex14,0,5.07E-06
2673,Dffa,0,5.07E-06
2674,Pgd,0,5.07E-06
2675,Kif1b,0,5.07E-06
2676,Ube4b,0,5.07E-06
2677,Lzic,0,5.07E-06
2678,Ctnnbip1,0,5.07E-06
2679,Clstn1,0,5.07E-06
2680,Pik3cd,-1,0
2681,Slc25a33,0,5.07E-06
2682,Spsb1,0,5.07E-06
2683,H6pd,0,5.07E-06
2684,Eno1,-249,0
2685,Rere,0,5.07E-06
2686,Errfi1,142,0
2687,Park7,0,5.07E-06
2688,Camta1,0,5.07E-06
2689,Per3,0,5.07E-06
2690,Vamp3,0,5.07E-06
2691,Dnajc11,0,5.07E-06
2692,Thap3,0,5.07E-06
2693,Phf13,0,5.07E-06
2694,Klhl21,0,5.07E-06
2695,Plekhg5,0,5.07E-06
2696,Espn,0,5.07E-06
2697,Acot7,26,9.64E-06
2698,Gpr153,0,5.07E-06
2699,Icmt,0,5.07E-06
2700,Rpl22,42,0
2701,Kcnab2,0,5.07E-06
2702,A430005L14Rik,0,5.07E-06
2703,Dffb,0,5.07E-06
2704,Cep104,0,5.07E-06
2705,Lrrc47,0,5.07E-06
2706,Smim1,0,5.07E-06
2707,Wrap73,0,5.07E-06
2708,Tprgl,-177,0
2709,Megf6,0,5.07E-06
2710,Prdm16,0,5.07E-06
2711,Fam213b,0,5.07E-06
2712,Pank4,0,5.07E-06
2713,Pex10,0,5.07E-06
2714,Rer1,0,5.07E-06
2715,Morn1,0,5.07E-06
2716,Ski,0,5.07E-06
2717,Faap20,0,5.07E-06
2718,Prkcz,-10,-1.78E-05
2719,Gnb1,0,5.07E-06
2720,Nadk,0,5.07E-06
2721,Slc35e2,0,5.07E-06
2722,Cdk11b,0,5.07E-06
2723,Mmp23,0,5.07E-06
2724,Mib2,0,5.07E-06
2725,Ssu72,0,5.07E-06
2726,Atad3a,0,5.07E-06
2727,Vwa1,0,5.07E-06
2728,Mrpl20,0,5.07E-06
2729,Ccnl2,0,5.07E-06
2730,Aurkaip1,0,5.07E-06
2731,Mxra8,0,5.07E-06
2732,Dvl1,0,5.07E-06
2733,Cptp,0,5.07E-06
2734,Pusl1,0,5.07E-06
2735,Acap3,0,5.07E-06
2736,Ube2j2,0,5.07E-06
2737,B3galt6,0,5.07E-06
2738,Sdf4,0,5.07E-06
2739,Tnfrsf18,0,5.07E-06
2740,Agrn,18,0
2741,Isg15,-3,0
2742,Klhl17,0,5.07E-06
2743,Noc2l,0,5.07E-06
2744,Cdk6,0,5.07E-06
2745,Fam133b,0,5.07E-06
2746,Rbm48,0,5.07E-06
2747,Pex1,0,5.07E-06
2748,Gatad1,0,5.07E-06
2749,Ankib1,0,5.07E-06
2750,Krit1,0,5.07E-06
2751,Akap9,0,5.07E-06
2752,Cyp51,0,5.07E-06
2753,Fzd1,0,5.07E-06
2754,Cdk14,0,5.07E-06
2755,Cldn12,0,5.07E-06
2756,Gtpbp10,0,5.07E-06
2757,Steap4,-3,0
2758,Sri,-18,-3.99E-05
2759,Dbf4,0,5.07E-06
2760,Slc25a40,0,5.07E-06
2761,Abcb1a,0,5.07E-06
2762,Abcb1b,0,5.07E-06
2763,Crot,0,5.07E-06
2764,Tmem243,-19,0
2765,Dmtf1,0,5.07E-06
2766,Sema3d,0,5.07E-06
2767,Cacna2d1,-1,0
2768,Sema3c,-7,0
2769,Cd36,60,-2.00E-05
2770,Gnai1,0,5.07E-06
2771,Tmem60,0,5.07E-06
2772,Rsbn1l,0,5.07E-06
2773,A630072M18Rik,0,5.07E-06
2774,Ptpn12,0,5.07E-06
2775,Gsap,0,5.07E-06
2776,Ccdc146,0,5.07E-06
2777,Fgl2,-35,0
2778,Lrrc17,0,5.07E-06
2779,Armc10,0,5.07E-06
2780,Pmpcb,0,5.07E-06
2781,Dnajc2,0,5.07E-06
2782,Psmc2,0,5.07E-06
2783,5031425E22Rik,0,5.07E-06
2784,Kmt2e,0,5.07E-06
2785,Srpk2,0,5.07E-06
2786,Pus7,0,5.07E-06
2787,Rint1,0,5.07E-06
2788,Tomm7,99,0
2789,2700038G22Rik,0,5.07E-06
2790,Fam126a,0,5.07E-06
2791,Klhl7,0,5.07E-06
2792,Kcnh2,0,5.07E-06
2793,Abcb8,0,5.07E-06
2794,Cdk5,0,5.07E-06
2795,Slc4a2,0,5.07E-06
2796,Fastk,0,5.07E-06
2797,Tmub1,0,5.07E-06
2798,Agap3,0,5.07E-06
2799,Abcf2,0,5.07E-06
2800,Chpf2,0,5.07E-06
2801,Smarcd3,0,5.07E-06
2802,Nub1,0,5.07E-06
2803,Rheb,35,0
2804,Prkag2,0,5.07E-06
2805,Galnt11,0,5.07E-06
2806,Kmt2c,0,5.07E-06
2807,1700096K18Rik,0,5.07E-06
2808,Paxip1,0,5.07E-06
2809,Insig1,12,3.27E-05
2810,Rbm33,0,5.07E-06
2811,Lmbr1,0,5.07E-06
2812,Nom1,0,5.07E-06
2813,Ube3c,0,5.07E-06
2814,Dnajb6,0,5.07E-06
2815,Il6,0,5.07E-06
2816,Tyms,0,5.07E-06
2817,Hadha,0,5.07E-06
2818,Hadhb,0,5.07E-06
2819,Kcnk3,-1,0
2820,Slc35f6,0,5.07E-06
2821,Cenpa,18,6.88E-05
2822,Mapre3,0,5.07E-06
2823,Tmem214,0,5.07E-06
2824,Ost4,64,0
2825,Emilin1,-3,-3.55E-05
2826,Khk,0,5.07E-06
2827,Preb,0,5.07E-06
2828,Atraid,0,5.07E-06
2829,Mpv17,0,5.07E-06
2830,Gtf3c2,0,5.07E-06
2831,Eif2b4,0,5.07E-06
2832,Snx17,0,5.07E-06
2833,Zfp513,0,5.07E-06
2834,Ppm1g,0,5.07E-06
2835,Nrbp1,0,5.07E-06
2836,Ift172,0,5.07E-06
2837,Zfp512,0,5.07E-06
2838,Gpn1,0,5.07E-06
2839,Supt7l,0,5.07E-06
2840,Slc4a1ap,0,5.07E-06
2841,Mrpl33,17,5.76E-05
2842,Rbks,0,5.07E-06
2843,Fosl2,0,5.07E-06
2844,Ppp1cb,-33,-7.23E-05
2845,Yes1,0,5.07E-06
2846,Pisd,0,5.07E-06
2847,Prr14l,0,5.07E-06
2848,Depdc5,0,5.07E-06
2849,Ywhah,-119,0
2850,Spon2,0,5.07E-06
2851,Ctbp1,0,5.07E-06
2852,Maea,0,5.07E-06
2853,Uvssa,0,5.07E-06
2854,Fam53a,0,5.07E-06
2855,Slbp,0,5.07E-06
2856,Tmem129,0,5.07E-06
2857,Fgfr3,0,5.07E-06
2858,Letm1,0,5.07E-06
2859,Nelfa,0,5.07E-06
2860,Gm1673,-3,3.29E-05
2861,Haus3,0,5.07E-06
2862,Mxd4,0,5.07E-06
2863,Rnf4,0,5.07E-06
2864,Fam193a,0,5.07E-06
2865,Tnip2,0,5.07E-06
2866,Sh3bp2,0,5.07E-06
2867,Add1,0,5.07E-06
2868,Mfsd10,0,5.07E-06
2869,Nop14,0,5.07E-06
2870,Htt,0,5.07E-06
2871,Rgs12,0,5.07E-06
2872,Lrpap1,-116,0
2873,Cpz,0,5.07E-06
2874,Acox3,0,5.07E-06
2875,Htra3,0,5.07E-06
2876,Sh3tc1,0,5.07E-06
2877,Afap1,-5,0
2878,Grpel1,0,5.07E-06
2879,Tada2b,0,5.07E-06
2880,Tbc1d14,0,5.07E-06
2881,D5Ertd579e,0,5.07E-06
2882,Bloc1s4,0,5.07E-06
2883,Mrfap1,6,-3.54E-05
2884,Man2b2,0,5.07E-06
2885,Wfs1,0,5.07E-06
2886,Jakmip1,0,5.07E-06
2887,Evc,0,5.07E-06
2888,Evc2,0,5.07E-06
2889,Msx1,-1,0
2890,Stx18,0,5.07E-06
2891,Nsg1,0,5.07E-06
2892,Lyar,0,5.07E-06
2893,Tmem128,0,5.07E-06
2894,Slc2a9,0,5.07E-06
2895,Wdr1,0,5.07E-06
2896,Hs3st1,0,5.07E-06
2897,Rab28,0,5.07E-06
2898,Bod1l,0,5.07E-06
2899,Cpeb2,0,5.07E-06
2900,C1qtnf7,5,0
2901,Cc2d2a,0,5.07E-06
2902,Fbxl5,0,5.07E-06
2903,Bst1,-4,0
2904,Cd38,0,5.07E-06
2905,Tapt1,0,5.07E-06
2906,Ldb2,0,5.07E-06
2907,Qdpr,0,5.07E-06
2908,Lap3,0,5.07E-06
2909,Med28,0,5.07E-06
2910,Lcorl,0,5.07E-06
2911,Slit2,0,5.07E-06
2912,Pacrgl,0,5.07E-06
2913,Adgra3,0,5.07E-06
2914,Dhx15,0,5.07E-06
2915,Sod3,32,4.91E-05
2916,Sepsecs,0,5.07E-06
2917,Pi4k2b,90,0
2918,Zcchc4,0,5.07E-06
2919,Anapc4,0,5.07E-06
2920,Smim20,0,5.07E-06
2921,Rbpj,0,5.07E-06
2922,Tbc1d19,0,5.07E-06
2923,Stim2,0,5.07E-06
2924,Pcdh7,-1,0
2925,Arap2,0,5.07E-06
2926,Rell1,0,5.07E-06
2927,Pgm1,-1,0
2928,Tbc1d1,0,5.07E-06
2929,Klf3,0,5.07E-06
2930,Fam114a1,0,5.07E-06
2931,Klhl5,0,5.07E-06
2932,Rfc1,0,5.07E-06
2933,Rpl9,82,-4.51E-05
2934,Lias,0,5.07E-06
2935,Ugdh,0,5.07E-06
2936,Smim14,0,5.07E-06
2937,Ube2k,0,5.07E-06
2938,Pds5a,0,5.07E-06
2939,N4bp2,0,5.07E-06
2940,Rhoh,17,0
2941,Rbm47,0,5.07E-06
2942,Apbb2,0,5.07E-06
2943,Uchl1,0,5.07E-06
2944,Limch1,-73,1.54E-05
2945,Tmem33,0,5.07E-06
2946,Slc30a9,0,5.07E-06
2947,Atp8a1,163,0
2948,Guf1,0,5.07E-06
2949,Gnpda2,0,5.07E-06
2950,Commd8,0,5.07E-06
2951,Nfxl1,0,5.07E-06
2952,Txk,-3,0
2953,Slain2,0,5.07E-06
2954,Fryl,0,5.07E-06
2955,Ociad1,0,5.07E-06
2956,Sgcb,0,5.07E-06
2957,Usp46,0,5.07E-06
2958,Rasl11b,0,5.07E-06
2959,Scfd2,0,5.07E-06
2960,Fip1l1,0,5.07E-06
2961,Chic2,0,5.07E-06
2962,Pdgfra,0,5.07E-06
2963,Kit,0,5.07E-06
2964,Kdr,-10,0
2965,Srd5a3,0,5.07E-06
2966,Tmem165,0,5.07E-06
2967,Clock,0,5.07E-06
2968,Exoc1,0,5.07E-06
2969,Ppat,0,5.07E-06
2970,Paics,0,5.07E-06
2971,Srp72,0,5.07E-06
2972,Hopx,-40,0
2973,Rest,0,5.07E-06
2974,Noa1,0,5.07E-06
2975,Polr2b,0,5.07E-06
2976,Igfbp7,-43,0
2977,Adgrl3,0,5.07E-06
2978,Cenpc1,0,5.07E-06
2979,Stap1,9,-3.55E-05
2980,Uba6,0,5.07E-06
2981,Ythdc1,0,5.07E-06
2982,Utp3,0,5.07E-06
2983,Rufy3,0,5.07E-06
2984,Grsf1,0,5.07E-06
2985,Mob1b,0,5.07E-06
2986,Dck,0,5.07E-06
2987,Slc4a4,0,5.07E-06
2988,Cox18,0,5.07E-06
2989,Ankrd17,0,5.07E-06
2990,Pf4,5,0
2991,Cxcl1,-4,0
2992,Cxcl2,-1,0
2993,Mthfd2l,0,5.07E-06
2994,Areg,0,5.07E-06
2995,Rchy1,0,5.07E-06
2996,Cdkl2,0,5.07E-06
2997,G3bp2,0,5.07E-06
2998,Uso1,0,5.07E-06
2999,Naaa,0,5.07E-06
3000,Sdad1,0,5.07E-06
3001,Art3,0,5.07E-06
3002,Cxcl10,0,5.07E-06
3003,Nup54,0,5.07E-06
3004,Scarb2,0,5.07E-06
3005,Stbd1,0,5.07E-06
3006,Shroom3,0,5.07E-06
3007,Ccni,0,5.07E-06
3008,Ccng2,0,5.07E-06
3009,Cnot6l,0,5.07E-06
3010,Mrpl1,0,5.07E-06
3011,Anxa3,-63,5.48E-05
3012,Bmp2k,0,5.07E-06
3013,Antxr2,0,5.07E-06
3014,Prkg2,34,0
3015,Rasgef1b,0,5.07E-06
3016,Hnrnpd,0,5.07E-06
3017,Hnrnpdl,0,5.07E-06
3018,Enoph1,0,5.07E-06
3019,Sec31a,0,5.07E-06
3020,5430416N02Rik,0,5.07E-06
3021,Lin54,0,5.07E-06
3022,Cops4,0,5.07E-06
3023,Plac8,0,5.07E-06
3024,Coq2,0,5.07E-06
3025,Mrps18c,0,5.07E-06
3026,Wdfy3,0,5.07E-06
3027,Arhgap24,0,5.07E-06
3028,Ptpn13,0,5.07E-06
3029,Slc10a6,0,5.07E-06
3030,Aff1,0,5.07E-06
3031,Hsd17b11,0,5.07E-06
3032,Nudt9,0,5.07E-06
3033,Sparcl1,0,5.07E-06
3034,Spp1,-21,9.59E-05
3035,Pkd2,0,5.07E-06
3036,BC005561,0,5.07E-06
3037,D930016D06Rik,0,5.07E-06
3038,Gbp9,2,0
3039,Gbp4,0,5.07E-06
3040,Lrrc8b,0,5.07E-06
3041,Lrrc8c,0,5.07E-06
3042,Lrrc8d,0,5.07E-06
3043,Zfp326,0,5.07E-06
3044,Zfp644,0,5.07E-06
3045,Tgfbr3,0,5.07E-06
3046,Rpap2,0,5.07E-06
3047,Evi5,0,5.07E-06
3048,Rpl5,145,0
3049,Fam69a,0,5.07E-06
3050,Mtf2,0,5.07E-06
3051,Tmed5,-43,-9.06E-05
3052,Dr1,0,5.07E-06
3053,Pigg,0,5.07E-06
3054,Atp5k,-13,-8.04E-05
3055,Pcgf3,0,5.07E-06
3056,Gak,0,5.07E-06
3057,Tmem175,0,5.07E-06
3058,Idua,0,5.07E-06
3059,Fgfrl1,0,5.07E-06
3060,Crlf2,0,5.07E-06
3061,Zfp932,0,5.07E-06
3062,Gtpbp6,0,5.07E-06
3063,Chfr,0,5.07E-06
3064,Golga3,0,5.07E-06
3065,Ankle2,0,5.07E-06
3066,Pgam5,0,5.07E-06
3067,Pxmp2,0,5.07E-06
3068,Fbrsl1,0,5.07E-06
3069,Noc4l,0,5.07E-06
3070,Ddx51,0,5.07E-06
3071,Ep400,0,5.07E-06
3072,Pus1,0,5.07E-06
3073,Ulk1,0,5.07E-06
3074,Hscb,0,5.07E-06
3075,Chek2,-1,0
3076,Ttc28,0,5.07E-06
3077,Pitpnb,0,5.07E-06
3078,Mn1,0,5.07E-06
3079,Tpst2,0,5.07E-06
3080,Tfip11,0,5.07E-06
3081,Srrd,0,5.07E-06
3082,Hps4,0,5.07E-06
3083,Crybb3,0,5.07E-06
3084,2900026A02Rik,0,5.07E-06
3085,Cmklr1,34,0
3086,Ficd,0,5.07E-06
3087,Sart3,0,5.07E-06
3088,Iscu,-30,-8.38E-05
3089,Tmem119,0,5.07E-06
3090,Selplg,0,5.07E-06
3091,Coro1c,0,5.07E-06
3092,Ssh1,0,5.07E-06
3093,Usp30,0,5.07E-06
3094,Alkbh2,0,5.07E-06
3095,Kctd10,0,5.07E-06
3096,Ube3b,0,5.07E-06
3097,Mvk,0,5.07E-06
3098,Fam222a,0,5.07E-06
3099,Gltp,0,5.07E-06
3100,Tchp,0,5.07E-06
3101,Git2,0,5.07E-06
3102,Ankrd13a,0,5.07E-06
3103,1500011B03Rik,0,5.07E-06
3104,2610524H06Rik,0,5.07E-06
3105,Oasl2,-4,0
3106,2210016L21Rik,0,5.07E-06
3107,Sppl3,0,5.07E-06
3108,Acads,0,5.07E-06
3109,Unc119b,0,5.07E-06
3110,Mlec,0,5.07E-06
3111,Pop5,0,5.07E-06
3112,Rnf10,0,5.07E-06
3113,Coq5,0,5.07E-06
3114,Dynll1,0,5.07E-06
3115,Srsf9,0,5.07E-06
3116,Gatc,0,5.07E-06
3117,Triap1,0,5.07E-06
3118,Cox6a1,-5,0
3119,Pxn,0,5.07E-06
3120,Rplp0,77,-4.31E-05
3121,Gcn1l1,0,5.07E-06
3122,Rab35,0,5.07E-06
3123,Prkab1,0,5.07E-06
3124,Hspb8,0,5.07E-06
3125,Suds3,0,5.07E-06
3126,Taok3,2,1.16E-05
3127,Pebp1,0,5.07E-06
3128,Vsig10,0,5.07E-06
3129,Wsb2,0,5.07E-06
3130,Rfc5,0,5.07E-06
3131,Fbxo21,0,5.07E-06
3132,Fbxw8,0,5.07E-06
3133,2410131K14Rik,0,5.07E-06
3134,Med13l,0,5.07E-06
3135,Tbx3,-1,0
3136,Tbx5,4,0
3137,Rbm19,0,5.07E-06
3138,Plbd2,0,5.07E-06
3139,Slc8b1,0,5.07E-06
3140,Tpcn1,0,5.07E-06
3141,Rita1,0,5.07E-06
3142,Ddx54,0,5.07E-06
3143,Dtx1,-40,0
3144,Oas1a,0,5.07E-06
3145,Ptpn11,0,5.07E-06
3146,Rpl6,114,0
3147,Trafd1,0,5.07E-06
3148,Naa25,0,5.07E-06
3149,Erp29,0,5.07E-06
3150,Mapkapk5,0,5.07E-06
3151,Aldh2,43,7.00E-06
3152,Brap,0,5.07E-06
3153,Atxn2,0,5.07E-06
3154,Sh2b3,0,5.07E-06
3155,Ppp1cc,0,5.07E-06
3156,Hvcn1,0,5.07E-06
3157,Tctn1,0,5.07E-06
3158,Pptc7,0,5.07E-06
3159,Vps29,0,5.07E-06
3160,Fam216a,0,5.07E-06
3161,Gpn3,0,5.07E-06
3162,Arpc3,0,5.07E-06
3163,Anapc7,0,5.07E-06
3164,Atp2a2,0,5.07E-06
3165,Ift81,0,5.07E-06
3166,P2rx7,0,5.07E-06
3167,P2rx4,0,5.07E-06
3168,Camkk2,0,5.07E-06
3169,Anapc5,0,5.07E-06
3170,Rnf34,0,5.07E-06
3171,Kdm2b,0,5.07E-06
3172,Orai1,0,5.07E-06
3173,Tmem120b,0,5.07E-06
3174,Rhof,0,5.07E-06
3175,Setd1b,0,5.07E-06
3176,Psmd9,0,5.07E-06
3177,Bcl7a,0,5.07E-06
3178,Mlxip,0,5.07E-06
3179,Diablo,0,5.07E-06
3180,Vps33a,0,5.07E-06
3181,Clip1,0,5.07E-06
3182,Zcchc8,0,5.07E-06
3183,Rsrc2,0,5.07E-06
3184,Hcar2,-10,0
3185,Denr,0,5.07E-06
3186,Hip1r,0,5.07E-06
3187,Vps37b,0,5.07E-06
3188,Abcb9,0,5.07E-06
3189,Ogfod2,0,5.07E-06
3190,Arl6ip4,0,5.07E-06
3191,Pitpnm2,0,5.07E-06
3192,2810006K23Rik,0,5.07E-06
3193,Cdk2ap1,0,5.07E-06
3194,Sbno1,0,5.07E-06
3195,Rilpl2,0,5.07E-06
3196,Snrnp35,0,5.07E-06
3197,Rilpl1,0,5.07E-06
3198,Tmed2,-4,-4.41E-05
3199,Ddx55,0,5.07E-06
3200,Eif2b1,0,5.07E-06
3201,Gtf2h3,0,5.07E-06
3202,Atp6v0a2,0,5.07E-06
3203,Zfp664,0,5.07E-06
3204,Ncor2,0,5.07E-06
3205,Scarb1,0,5.07E-06
3206,Ubc,-4,0
3207,Bri3bp,0,5.07E-06
3208,Aacs,0,5.07E-06
3209,Slc15a4,0,5.07E-06
3210,Ran,0,5.07E-06
3211,Sfswap,0,5.07E-06
3212,Mrps17,0,5.07E-06
3213,Psph,0,5.07E-06
3214,Sumf2,0,5.07E-06
3215,Phkg1,0,5.07E-06
3216,Chchd2,16,0
3217,Vkorc1l1,0,5.07E-06
3218,Gusb,0,5.07E-06
3219,Asl,0,5.07E-06
3220,Crcp,0,5.07E-06
3221,Tpst1,-109,0
3222,Rabgef1,0,5.07E-06
3223,Tmem248,0,5.07E-06
3224,Sbds,-76,0
3225,Tyw1,0,5.07E-06
3226,Auts2,0,5.07E-06
3227,Ncf1,0,5.07E-06
3228,Gtf2i,0,5.07E-06
3229,Gtf2ird1,0,5.07E-06
3230,Clip2,0,5.07E-06
3231,Rfc2,0,5.07E-06
3232,Lat2,0,5.07E-06
3233,Eif4h,0,5.07E-06
3234,Limk1,0,5.07E-06
3235,Eln,0,5.07E-06
3236,Cldn3,6,0
3237,Abhd11,0,5.07E-06
3238,Abhd11os,-2,0
3239,Dnajc30,0,5.07E-06
3240,Tbl2,0,5.07E-06
3241,Bcl7b,0,5.07E-06
3242,Baz1b,0,5.07E-06
3243,Nsun5,0,5.07E-06
3244,Pom121,0,5.07E-06
3245,Hip1,1,0
3246,Rhbdd2,0,5.07E-06
3247,Por,-9,-2.30E-05
3248,Tmem120a,0,5.07E-06
3249,Mdh2,0,5.07E-06
3250,Hspb1,0,5.07E-06
3251,Ywhag,0,5.07E-06
3252,Dtx2,0,5.07E-06
3253,Rasa4,-19,0
3254,Polr2j,0,5.07E-06
3255,Lrwd1,0,5.07E-06
3256,Orai2,0,5.07E-06
3257,Prkrip1,0,5.07E-06
3258,Sh2b2,2,0
3259,Cux1,0,5.07E-06
3260,Ift22,0,5.07E-06
3261,Fis1,125,0
3262,Znhit1,0,5.07E-06
3263,Plod3,0,5.07E-06
3264,Ap1s1,0,5.07E-06
3265,Serpine1,0,5.07E-06
3266,Trim56,0,5.07E-06
3267,Ufsp1,0,5.07E-06
3268,Srrt,0,5.07E-06
3269,Trip6,0,5.07E-06
3270,Slc12a9,0,5.07E-06
3271,Ephb4,0,5.07E-06
3272,Pop7,0,5.07E-06
3273,Gigyf1,0,5.07E-06
3274,Gnb2,0,5.07E-06
3275,Mospd3,0,5.07E-06
3276,Pcolce,-59,0
3277,Lrch4,-10,0
3278,Agfg2,0,5.07E-06
3279,Tsc22d4,0,5.07E-06
3280,Ppp1r35,0,5.07E-06
3281,Mepce,0,5.07E-06
3282,Pilra,-1,-3.44E-05
3283,Pilrb1,9,0
3284,Zkscan1,0,5.07E-06
3285,Zscan21,0,5.07E-06
3286,Cops6,0,5.07E-06
3287,Mcm7,0,5.07E-06
3288,Ap4m1,0,5.07E-06
3289,Taf6,0,5.07E-06
3290,Cnpy4,0,5.07E-06
3291,Lamtor4,-16,-4.49E-05
3292,BC037034,0,5.07E-06
3293,Zfp157,0,5.07E-06
3294,Zfp68,0,5.07E-06
3295,Fam20c,0,5.07E-06
3296,Pdgfa,-52,6.41E-05
3297,Prkar1b,0,5.07E-06
3298,Dnaaf5,0,5.07E-06
3299,07-01-2020,0,5.07E-06
3300,Get4,0,5.07E-06
3301,Cox19,0,5.07E-06
3302,3110082I17Rik,0,5.07E-06
3303,Gpr146,0,5.07E-06
3304,C130050O18Rik,24,0
3305,Zfand2a,0,5.07E-06
3306,Ints1,0,5.07E-06
3307,Mafk,0,5.07E-06
3308,Psmg3,0,5.07E-06
3309,Mad1l1,0,5.07E-06
3310,Nudt1,0,5.07E-06
3311,Snx8,0,5.07E-06
3312,Eif3b,0,5.07E-06
3313,Chst12,-74,0
3314,Lfng,0,5.07E-06
3315,Ttyh3,0,5.07E-06
3316,Amz1,0,5.07E-06
3317,Gna12,0,5.07E-06
3318,Card11,0,5.07E-06
3319,Foxk1,0,5.07E-06
3320,Wipi2,0,5.07E-06
3321,Tnrc18,0,5.07E-06
3322,Fbxl18,0,5.07E-06
3323,Actb,-115,0
3324,Fscn1,-1,-4.35E-05
3325,Rnf216,0,5.07E-06
3326,Zfp12,0,5.07E-06
3327,E130309D02Rik,0,5.07E-06
3328,Zdhhc4,0,5.07E-06
3329,0610040B10Rik,0,5.07E-06
3330,Kdelr2,0,5.07E-06
3331,Daglb,0,5.07E-06
3332,Rac1,-6,-1.74E-05
3333,Fam220a,0,5.07E-06
3334,Cyth3,0,5.07E-06
3335,Usp42,0,5.07E-06
3336,Eif2ak1,0,5.07E-06
3337,Aimp2,0,5.07E-06
3338,Pms2,0,5.07E-06
3339,Ccz1,0,5.07E-06
3340,Lmtk2,0,5.07E-06
3341,Tecpr1,0,5.07E-06
3342,Bri3,189,0
3343,Baiap2l1,0,5.07E-06
3344,Trrap,0,5.07E-06
3345,Smurf1,0,5.07E-06
3346,Arpc1a,-33,-9.50E-05
3347,Arpc1b,4,1.47E-05
3348,Pdap1,0,5.07E-06
3349,Bud31,0,5.07E-06
3350,Cpsf4,0,5.07E-06
3351,Atp5j2,180,0
3352,Zkscan14,0,5.07E-06
3353,Zkscan5,0,5.07E-06
3354,Zfp655,0,5.07E-06
3355,Rnf6,0,5.07E-06
3356,Cdk8,0,5.07E-06
3357,Wasf3,0,5.07E-06
3358,Usp12,0,5.07E-06
3359,Rpl21,79,-5.09E-06
3360,Rasl11a,0,5.07E-06
3361,Gtf3a,0,5.07E-06
3362,Mtif3,0,5.07E-06
3363,Lnx2,0,5.07E-06
3364,Polr1d,-13,-3.77E-05
3365,Pan3,0,5.07E-06
3366,Flt1,0,5.07E-06
3367,Pomp,-3,0
3368,Slc7a1,0,5.07E-06
3369,Ubl3,-96,0
3370,Hmgb1,20,0
3371,Uspl1,0,5.07E-06
3372,Alox5ap,0,5.07E-06
3373,Medag,0,5.07E-06
3374,Hsph1,0,5.07E-06
3375,B3glct,0,5.07E-06
3376,Fry,0,5.07E-06
3377,N4bp2l1,0,5.07E-06
3378,N4bp2l2,0,5.07E-06
3379,Pds5b,0,5.07E-06
3380,Stard13,0,5.07E-06
3381,Rfc3,0,5.07E-06
3382,Samd9l,0,5.07E-06
3383,Hepacam2,2,0
3384,Vps50,0,5.07E-06
3385,Gng11,-6,0
3386,Bet1,0,5.07E-06
3387,Col1a2,0,5.07E-06
3388,Casd1,0,5.07E-06
3389,Sgce,0,5.07E-06
3390,Ppp1r9a,-16,-3.98E-05
3391,Pon3,-46,0
3392,Pon2,0,5.07E-06
3393,Pdk4,-1,0
3394,Sdhaf3,0,5.07E-06
3395,Asns,0,5.07E-06
3396,C1galt1,0,5.07E-06
3397,Mios,0,5.07E-06
3398,Rpa3,0,5.07E-06
3399,Umad1,0,5.07E-06
3400,Ica1,0,5.07E-06
3401,Ndufa4,-26,-4.72E-05
3402,Phf14,0,5.07E-06
3403,Tmem106b,0,5.07E-06
3404,Tmem168,0,5.07E-06
3405,2610001J05Rik,68,0
3406,1110019D14Rik,0,5.07E-06
3407,Foxp2,0,5.07E-06
3408,Mdfic,0,5.07E-06
3409,Gm4876,0,5.07E-06
3410,Tes,0,5.07E-06
3411,D830026I12Rik,0,5.07E-06
3412,Cav2,-80,1.96E-05
3413,Cav1,-82,-4.10E-05
3414,Met,0,5.07E-06
3415,Capza2,0,5.07E-06
3416,St7,0,5.07E-06
3417,Wnt2,0,5.07E-06
3418,Lsm8,0,5.07E-06
3419,Tspan12,0,5.07E-06
3420,Ing3,0,5.07E-06
3421,Cped1,-36,7.98E-05
3422,Fam3c,0,5.07E-06
3423,Cadps2,0,5.07E-06
3424,Ndufa5,0,5.07E-06
3425,Wasl,0,5.07E-06
3426,Pot1a,0,5.07E-06
3427,Zfp800,0,5.07E-06
3428,Gcc1,0,5.07E-06
3429,Arf5,115,0
3430,Snd1,0,5.07E-06
3431,Rbm28,0,5.07E-06
3432,Impdh1,0,5.07E-06
3433,Hilpda,0,5.07E-06
3434,Calu,0,5.07E-06
3435,Atp6v1f,0,5.07E-06
3436,Irf5,0,5.07E-06
3437,Tnpo3,0,5.07E-06
3438,Smo,0,5.07E-06
3439,Ahcyl2,0,5.07E-06
3440,Nrf1,0,5.07E-06
3441,Ube2h,0,5.07E-06
3442,Zc3hc1,0,5.07E-06
3443,Klhdc10,0,5.07E-06
3444,Tmem209,0,5.07E-06
3445,Copg2,0,5.07E-06
3446,Lncpint,0,5.07E-06
3447,Mkln1,0,5.07E-06
3448,Podxl,0,5.07E-06
3449,Plxna4,0,5.07E-06
3450,Plxna4os1,0,5.07E-06
3451,Chchd3,0,5.07E-06
3452,Exoc4,0,5.07E-06
3453,Slc35b4,0,5.07E-06
3454,Akr1b3,-110,0
3455,Akr1b8,0,5.07E-06
